epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,17880.8,1.32805,0.66313,1.15456,0.72524,0.7349,0.68668,0.41435,1.28333,0.81536,1.16631,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,18473.2,1.30119,0.64408,1.13979,0.71763,0.71916,0.67639,0.4105,1.28597,0.81239,1.16321,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,19065.6,1.29848,0.64473,1.14428,0.7286,0.72175,0.69023,0.42402,1.26279,0.8107,1.15521,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,19657.6,1.30382,0.64556,1.14619,0.72347,0.73045,0.69043,0.41992,1.27622,0.79189,1.15586,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,20249.7,1.29441,0.63503,1.13181,0.70942,0.72712,0.67214,0.40951,1.27047,0.83837,1.15687,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,20840.4,1.27391,0.63163,1.13316,0.72885,0.7232,0.67533,0.41527,1.25249,0.81186,1.15097,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,21431.7,1.28334,0.63013,1.13329,0.72532,0.72658,0.67708,0.41835,1.25736,0.83561,1.15665,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,22023.2,1.28329,0.62646,1.13327,0.7018,0.72205,0.68242,0.41976,1.25945,0.78417,1.15757,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,22614.5,1.27329,0.62151,1.12487,0.72671,0.73477,0.69432,0.42728,1.2563,0.78557,1.15374,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,23205.9,1.26649,0.61436,1.12877,0.72659,0.74852,0.70757,0.43563,1.26282,0.75012,1.15611,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
