epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10440.9,1.30737,0.6688,1.13581,0.74726,0.74219,0.74069,0.45367,1.26987,0.73332,1.12959,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,10786.9,1.29177,0.65806,1.12377,0.77409,0.73113,0.75647,0.4609,1.28444,0.665,1.1361,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,11132.1,1.28065,0.64532,1.11861,0.72335,0.72326,0.69938,0.4288,1.27446,0.83242,1.1297,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,11476.7,1.28686,0.64736,1.12529,0.74936,0.73417,0.72956,0.44751,1.26892,0.70053,1.12473,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,11821.1,1.2685,0.63783,1.11505,0.75776,0.74268,0.74026,0.4522,1.27441,0.68723,1.13117,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,12165.7,1.27979,0.64036,1.12198,0.7405,0.72866,0.7254,0.44675,1.27347,0.74398,1.12795,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,12510.9,1.27715,0.63352,1.11499,0.75383,0.7229,0.74222,0.45449,1.26884,0.70111,1.12337,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,12857,1.26423,0.62749,1.10439,0.73326,0.72524,0.70291,0.42765,1.27414,0.75315,1.12869,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,13202.9,1.26166,0.61904,1.10235,0.72914,0.71019,0.70518,0.43352,1.26514,0.75618,1.1199,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,13549.8,1.2584,0.62143,1.11142,0.74896,0.71269,0.72791,0.44852,1.26651,0.70708,1.12897,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,13895.3,1.24784,0.61167,1.09955,0.73424,0.71909,0.73053,0.45004,1.27118,0.72991,1.12648,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,14240.6,1.24021,0.60412,1.09672,0.74621,0.73457,0.73601,0.45568,1.26585,0.70616,1.1261,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,14586.1,1.23998,0.60898,1.09222,0.7106,0.74335,0.71425,0.44186,1.27417,0.73687,1.12733,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,14930.6,1.23793,0.59893,1.09293,0.73133,0.72734,0.70995,0.43736,1.26714,0.72675,1.12285,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,15274.7,1.23226,0.59664,1.09315,0.72743,0.74099,0.73129,0.45467,1.26491,0.72314,1.12223,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,15618.3,1.2268,0.58931,1.08392,0.73909,0.7227,0.71376,0.4417,1.26534,0.72485,1.12733,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,15962.8,1.23149,0.59362,1.09121,0.74152,0.73378,0.73255,0.45296,1.26908,0.70948,1.12613,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,16308.3,1.23142,0.59414,1.08623,0.74453,0.73629,0.7296,0.45164,1.26585,0.70525,1.12388,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,16658.1,1.20473,0.57654,1.08047,0.74361,0.73229,0.72409,0.44855,1.26915,0.73178,1.12383,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
